variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,variable.1,term.1,estimate.1,std.error.1,statistic.1,p.value.1,conf.low.1,conf.high.1
fever,(Intercept),-0.8373967894034176,0.22227929767517565,-3.7673179561109382,1.650107852195948e-4,-1.2874670499786456,-0.4125122139107744,fever,(Intercept),0.4328358208959875,0.22227929767517565,-3.7673179561109382,1.650107852195948e-4,0.27596891401777457,0.6619851112143741
fever,.xyes,0.2620326444998805,0.4722490617133585,0.5548611225381889,0.5789896556726688,-0.6947813121457521,1.1744354706440523,fever,.xyes,1.2995689655158773,0.4722490617133585,0.5548611225381889,0.5789896556726688,0.4991836014401082,3.236315432977708
diarrhea,(Intercept),-0.7457909140449588,0.19961843175173172,-3.736082422351206,1.8690942618013819e-4,-1.147482744683772,-0.36238207345620027,diarrhea,(Intercept),0.47435897435916813,0.19961843175173172,-3.736082422351206,1.8690942618013819e-4,0.3174348290085948,0.6960163876462203
diarrhea,.xyes,-0.8636469983891413,1.1134844038880736,-0.7756255905996096,0.4379700860126817,-3.835217407068042,1.0070827053893026,diarrhea,.xyes,0.4216216216214495,1.1134844038880736,-0.7756255905996096,0.4379700860126817,0.021596642696978887,2.7376029599864586
malena,(Intercept),-0.8109302162154858,0.20030832361330253,-4.048409979112979,5.1566760542716784e-5,-1.2147843104124765,-0.42693545471019523,malena,(Intercept),0.4444444444448191,0.20030832361330253,-4.048409979112979,5.1566760542716784e-5,0.2967740184569101,0.6525056670361077
malena,.xyes,0.8109302162154824,1.01986441476736,0.7951353184535445,0.4265347919108029,-1.340650455000972,2.9630141410188235,malena,.xyes,2.2499999999980957,1.01986441476736,0.7951353184535445,0.4265347919108029,0.26167540513607257,19.35622631337355
onset_more_24_hrs,(Intercept),-1.098612288665142,0.3333330462233772,-3.295839704800605,9.812798726270497e-4,-1.7942261078001573,-0.47491755066023694,onset_more_24_hrs,(Intercept),0.3333333333343226,0.3333330462233772,-3.295839704800605,9.812798726270497e-4,0.16625606684684413,0.6219363325911464
onset_more_24_hrs,.xyes,0.5065612249766036,0.4133388987985847,1.2255348491249671,0.2203737680865631,-0.28892635558479346,1.3414592993794183,onset_more_24_hrs,.xyes,1.6595744680802447,0.4133388987985847,1.2255348491249671,0.2203737680865631,0.7490673679997024,3.8246207015934397
degree_perforation,(Intercept),0.6359887667199178,0.41223124873724887,1.5427961093878382,0.12288025376813189,-0.14933574432222038,1.4893723673013048,degree_perforation,(Intercept),1.8888888888887398,0.41223124873724887,1.5427961093878382,0.12288025376813189,0.8612798965148625,4.434311526522451
degree_perforation,.xmoderate,-1.2550279751260838,0.6242713995815903,-2.0103883919193635,0.044390098100248084,-2.5278568215414094,-0.05993499097415312,degree_perforation,.xmoderate,0.28506787330320627,0.6242713995815903,-2.0103883919193635,0.044390098100248084,0.079829926858432,0.9418257587692275
degree_perforation,.xsmall,-2.107805301277956,0.5076973539486865,-4.151696448453411,3.3001980654035974e-5,-3.1442780171246465,-1.1400385989725101,degree_perforation,.xsmall,0.12150433944070567,0.5076973539486865,-4.151696448453411,3.3001980654035974e-5,0.04309802885570542,0.3198066773689156
